Filename,Avg test R2
001_pass_t_plus_2_summary.txt,0.2416
002_pass_t_plus_1_cross_summary.txt,0.4174
003_pass_t_plus_1_cross_summary.txt,0.4174
004_pass_t_plus_1_cross_summary.txt,-0.8542
005_pass_t_plus_1_cross_summary.txt,-0.8542
006_pass_t_plus_1_cross_summary.txt,0.4174
007_pass_t_plus_1_cross_summary.txt,0.4174
008_003_based_v1_003_based_summary.txt,S0=0.4134 ??B3=0.1639
009_003_based_Conly_fast_v1_summary.txt,C1=0.3884 | C2=-2075830.7016 | C3=-2075830.7012
010_r2_uplift_alias_v1_R1_summary.txt,-1880937.123
010_r2_uplift_alias_v1_S0_summary.txt,0.9141
010_r2_uplift_alias_v1_S1_summary.txt,0.9522
010_r2_uplift_alias_v1_TE2_summary.txt,0.9194
011_r2_uplift_alias_v1_S0+R1+W2_summary.txt,-1880937.123
011_r2_uplift_alias_v1_S0_summary.txt,0.9141
012_r2_uplift_alias_v2_R1_summary.txt,0.7461
012_r2_uplift_alias_v2_S0+R1+W2_summary.txt,0.7245
012_r2_uplift_alias_v2_S0+S1+IW_summary.txt,0.7973
012_r2_uplift_alias_v2_S0+TE2+W2_summary.txt,0.6579
012_r2_uplift_alias_v2_S0_summary.txt,0.6664
012_r2_uplift_alias_v2_S1_summary.txt,0.7861
012_r2_uplift_alias_v2_TE2_summary.txt,0.6612
012_r2_uplift_alias_v2_W2_summary.txt,0.6744
013_r2_uplift_alias_v2_S0_summary.txt,0.6664
013_r2_uplift_alias_v3_S0_summary.txt,0.6664
014_pass_t_plus_1_cross_summary.txt,0.4174
014_r2_leak_audit_003-ANCHOR(noLAG)_summary.txt,0.8978
014_r2_leak_audit_CURWARP-only_summary.txt,-0.845
014_r2_leak_audit_PERMUTE(noLAG)_summary.txt,0.9216
014_r2_leak_audit_S0+L1(lagON)_summary.txt,0.6664
014_r2_leak_audit_S0-noLAG_summary.txt,0.906
014_r2_uplift_alias_v3_S0_summary.txt,0.906
015_r2_uplift_alias_v3_S0_summary.txt,0.906
016_r2_uplift_alias_v3_S0__PERMUTE_summary.txt,-0.493
016_r2_uplift_alias_v3_S0_summary.txt,-0.3946
017_r2_uplift_final_v1_S0_summary.txt,-0.0835
017_r2_uplift_final_v2_S0+DF1_summary.txt,0.7305
017_r2_uplift_final_v2_S0+L1_summary.txt,0.6664
017_r2_uplift_final_v2_S0+PN1_summary.txt,0.3092
017_r2_uplift_final_v2_S0+T2_summary.txt,-4.5882
017_r2_uplift_final_v2_S0+TE2_summary.txt,0.9099
017_r2_uplift_final_v2_S0+W2_summary.txt,0.9069
017_r2_uplift_final_v2_S0_summary.txt,0.906
018_r2_uplift_final_v2_S0_summary.txt,-0.0765
019_r2_uplift_final_v2_S0_summary.txt,0.669
020_r2_uplift_final_v2_S0+DF1_summary.txt,0.8045
020_r2_uplift_final_v2_S0+L1_summary.txt,0.6974
020_r2_uplift_final_v2_S0+PN1_summary.txt,0.6758
020_r2_uplift_final_v2_S0+T2_summary.txt,-5.5723
020_r2_uplift_final_v2_S0+TE2_summary.txt,0.8476
020_r2_uplift_final_v2_S0+W2_summary.txt,0.8994
020_r2_uplift_final_v2_S0_summary.txt,0.9054
021_r2_uplift_final_v3_S0+L1_summary.txt,0.844
021_r2_uplift_final_v3_S0+PN1_summary.txt,0.8324
021_r2_uplift_final_v3_S0_summary.txt,0.9006
022_r2_grid_11_off_S0+BAG_summary.txt,0.8999
022_r2_grid_11_off_S0+IW_summary.txt,0.9037
022_r2_grid_11_off_S0+L1_summary.txt,0.7173
022_r2_grid_11_off_S0+M2_summary.txt,0.9062
022_r2_grid_11_off_S0+PN1_summary.txt,0.663
022_r2_grid_11_off_S0+R1_summary.txt,0.8409
022_r2_grid_11_off_S0+S1_summary.txt,0.905
022_r2_grid_11_off_S0+SEG_summary.txt,0.905
022_r2_grid_11_off_S0+T2_summary.txt,-5.61
022_r2_grid_11_off_S0+TE2_summary.txt,0.8274
022_r2_grid_11_off_S0+W2_summary.txt,0.9057
022_r2_grid_11_off_S0+X2E_MOE_summary.txt,0.5433
022_r2_grid_11_off_S0+X2E_RES_summary.txt,0.5398
022_r2_grid_11_off_S0+X2E_YJ_summary.txt,0.5412
022_r2_grid_11_off_S0_summary.txt,0.905
023_r2_grid_11_on_S0+BAG_summary.txt,0.8987
023_r2_grid_11_on_S0+IW_summary.txt,0.8982
023_r2_grid_11_on_S0+L1_summary.txt,0.8439
023_r2_grid_11_on_S0+M2_summary.txt,0.8979
023_r2_grid_11_on_S0+PN1_summary.txt,0.8323
