Filename,Avg test R2,py 1,py 2
010_r2_uplift_alias_v1_S1_summary.txt,0.9522,010_003_r2_uplift_suite.py,
014_r2_leak_audit_PERMUTE(noLAG)_summary.txt,0.9216,014_003_r2_uplift_suite.py,014_experiment.py
084_pass_t_plus_1_cross_summary.txt,0.9142,084_test.py,
011_r2_uplift_alias_v1_S0_summary.txt,0.9141,011_003_r2_uplift_suite_2.py,
017_r2_uplift_final_v2_S0+TE2_summary.txt,0.9099,017_test.py,017_test_no_op.py
024_r2_grid_ABC_off_S0+M2_summary.txt,0.9062,024_test_no_op.py,
015_r2_uplift_alias_v3_S0_summary.txt,0.906,015_003_r2_uplift_suite.py,
020_r2_uplift_final_v2_S0_summary.txt,0.9054,020_test_no_op.py,
021_r2_uplift_final_v3_S0_summary.txt,0.9006,021_test.py,
025_r2_grid_ABC_on_S0+S1_summary.txt,0.8988,025_test_no_op.py,
012_r2_uplift_alias_v2_S0+S1+IW_summary.txt,0.7973,012_003_r2_uplift_suite.py,012_003_r2_uplift_suite_2.py
019_r2_uplift_final_v2_S0_summary.txt,0.669,019_test_no_op.py,
013_r2_uplift_alias_v2_S0_summary.txt,0.6664,013_003_r2_uplift_suite.py,013_003_r2_uplift_suite_2.py
007_pass_t_plus_1_cross_summary.txt,0.4174,007_experiment.py,
083_pass_t_plus_1_cross_summary.txt,0.3354,083_experiment.py,
082_pass_t_plus_1_cross_summary.txt,0.3151,082_experiment.py,
032_pass_t_plus_1_cross_summary.txt,0.2937,032_experiment.py,032_test.py
118_test_no_op_summary.txt,0.2623,118_test.py,118_test_no_op.py
091_pass_t_plus_1_cross_summary.txt,0.2576,091_experiment.py,091_test.py
095_test_summary.txt,0.2552,095_experiment.py,095_test.py
117_test_no_op_summary.txt,0.253,117_test_no_op.py,
113_test_no_op_summary.txt,0.2529,113_test_no_op.py,
250_test_summary.txt,0.2513,250_test.py,
001_pass_t_plus_2_summary.txt,0.2416,001_pass_t_plus_2_pipeline.py,
088_pass_t_plus_1_cross_summary.txt,0.2313,088_experiment.py,
322_test_summary.txt,0.23,322_test.py,
236_test_no_op_summary.txt,0.2236,236_test_no_op.py,
226_test_no_op_summary.txt,0.2234,226_test_no_op.py,
324_test_summary.txt,0.2226,324_test.py,
093_test_summary.txt,0.2209,093_test.py,
321_test_no_op_summary.txt,0.2205,321_test_no_op.py,
320_test_no_op_summary.txt,0.2204,320_test_no_op.py,
309_test_no_op_summary.txt,0.2193,309_test_no_op.py,
308_test_no_op_summary.txt,0.2192,308_test_no_op.py,
234_test_no_op_summary.txt,0.2157,234_test_no_op.py,
224_test_no_op_summary.txt,0.2156,224_test_no_op.py,
323_test_summary.txt,0.2149,323_test.py,
319_test_no_op_summary.txt,0.2122,319_test_no_op.py,
318_test_no_op_summary.txt,0.2119,318_test_no_op.py,
089__V2_pass_t_plus_1_cross_summary.txt,0.2098,089_test.py,
325_test_summary.txt,0.2077,325_test.py,
332_test_summary.txt,0.2074,332_test.py,
331_test_summary.txt,0.207,331_test.py,
307_test_no_op_summary.txt,0.206,307_test_no_op.py,
306_test_no_op_summary.txt,0.2055,306_test_no_op.py,
049_pass_t_plus_1_cross_summary.txt,0.2043,049_experiment.py,
335_test_summary.txt,0.1968,335_test.py,
092_test_no_op_summary.txt,0.1966,092_experiment.py,
099_test_no_op_summary.txt,0.1962,099_test_no_op.py,
314_test_no_op_summary.txt,0.194,314_test_no_op.py,
315_test_no_op_summary.txt,0.1939,315_test_no_op.py,
302_test_no_op_summary.txt,0.1931,302_test_no_op.py,
303_test_no_op_summary.txt,0.1926,303_test_no_op.py,
206_test_no_op_summary.txt,0.1921,206_test_no_op.py,
216_test_no_op_summary.txt,0.1919,216_test_no_op.py,
100_test_no_op_summary.txt,0.1913,100_test_no_op.py,
337_test_summary.txt,0.1911,337_test.py,
336_test_summary.txt,0.19,336_test.py,
047_pass_t_plus_1_cross_summary.txt,0.1892,047_experiment.py,
245_test_summary.txt,0.1882,245_test.py,
186_test_no_op_summary.txt,0.188,186_test_no_op.py,
196_test_no_op_summary.txt,0.1878,196_test_no_op.py,
338_test_summary.txt,0.1877,338_test.py,
316_test_no_op_summary.txt,0.1874,316_test_no_op.py,
317_test_no_op_summary.txt,0.1871,317_test_no_op.py,
184_test_no_op_summary.txt,0.1858,184_test_no_op.py,
300_test_no_op_summary.txt,0.1856,300_test_no_op.py,
312_test_no_op_summary.txt,0.1854,312_test_no_op.py,
194_test_no_op_summary.txt,0.1852,194_test_no_op.py,
313_test_no_op_summary.txt,0.185,313_test_no_op.py,
301_test_no_op_summary.txt,0.1849,301_test_no_op.py,
247_test_summary.txt,0.1841,247_test.py,
153_test_summary.txt,0.1832,153_test.py,
155_test_summary.txt,0.1823,155_test.py,
204_test_no_op_summary.txt,0.1812,204_test_no_op.py,
214_test_no_op_summary.txt,0.1811,214_test_no_op.py,
272_test_summary.txt,0.175,272_test.py,
304_test_no_op_summary.txt,0.1745,304_test_no_op.py,
305_test_no_op_summary.txt,0.1744,305_test_no_op.py,
134_test_summary.txt,0.1738,134_test.py,
166_test_no_op_summary.txt,0.1689,166_test_no_op.py,
176_test_no_op_summary.txt,0.1687,176_test_no_op.py,
299_test_no_op_summary.txt,0.1671,299_test_no_op.py,
298_test_no_op_summary.txt,0.1669,298_test_no_op.py,
164_test_no_op_summary.txt,0.1663,164_test_no_op.py,
311_test_no_op_summary.txt,0.1661,311_test_no_op.py,
174_test_no_op_summary.txt,0.1659,174_test_no_op.py,
310_test_no_op_summary.txt,0.1657,310_test_no_op.py,
327_test_summary.txt,0.1642,327_test.py,
329_test_summary.txt,0.1559,329_test.py,
326_test_summary.txt,0.1534,326_test.py,
102_test_no_op_summary.txt,0.153,102_test_no_op.py,
273_test_summary.txt,0.1504,273_test.py,
149_test_summary.txt,0.1493,149_test.py,
328_test_summary.txt,0.1479,328_test.py,
146_test_summary.txt,0.1469,146_test.py,
147_test_summary.txt,0.1442,147_test.py,
268_test_summary.txt,0.1431,268_test.py,
248_test_summary.txt,0.1409,248_test.py,
132_test_summary.txt,0.1376,132_test.py,
195_test_no_op_summary.txt,0.133,195_test_no_op.py,
189_test_no_op_summary.txt,0.1311,189_test_no_op.py,
199_test_no_op_summary.txt,0.1307,199_test_no_op.py,
126_test_summary.txt,0.129,126_test.py,
269_test_summary.txt,0.1284,269_test.py,
131_test_summary.txt,0.1266,131_test.py,
098_test_no_op_summary.txt,0.1248,098_test_no_op.py,
255_test_summary.txt,0.124,255_test.py,
133_test_summary.txt,0.1239,133_test.py,
096_test_no_op_summary.txt,0.1207,096_test_no_op.py,
028_r2_uplift_final_v4_S0_summary.txt,0.1174,028_test.py,
045_r2_uplift_final_v4_XGB_ADV_S0_summary.txt,0.1096,045_experiment.py,045_test.py
029_r2_uplift_final_v4_S0_summary.txt,0.1081,029_test.py,
101_test_no_op_summary.txt,0.1054,101_test.py,101_test_no_op.py
130_test_summary.txt,0.1038,130_test.py,
122_test_summary.txt,0.1006,122_test.py,
271_test_summary.txt,0.0982,271_test.py,
239_test_no_op_summary.txt,0.096,239_test_no_op.py,
229_test_no_op_summary.txt,0.0953,229_test_no_op.py,
235_test_no_op_summary.txt,0.0949,235_test_no_op.py,
225_test_no_op_summary.txt,0.0943,225_test_no_op.py,
124_test_summary.txt,0.0928,124_test.py,
158_test_summary.txt,0.0896,158_test.py,
123_test_summary.txt,0.0818,123_test.py,
125_test_summary.txt,0.0792,125_test.py,
228_test_no_op_summary.txt,0.0758,228_test_no_op.py,
238_test_no_op_summary.txt,0.0755,238_test_no_op.py,
165_test_no_op_summary.txt,0.0735,165_test_no_op.py,
175_test_no_op_summary.txt,0.0732,175_test_no_op.py,
169_test_no_op_summary.txt,0.0722,169_test_no_op.py,
179_test_no_op_summary.txt,0.0719,179_test_no_op.py,
128_test_summary.txt,0.0677,128_test.py,
120_test_summary.txt,0.0644,120_test.py,
127_test_summary.txt,0.0566,127_test.py,
129_test_summary.txt,0.054,129_test.py,
188_test_no_op_summary.txt,0.0538,188_test_no_op.py,
198_test_no_op_summary.txt,0.0537,198_test_no_op.py,
119_test_summary.txt,0.0534,119_test.py,
121_test_summary.txt,0.0508,121_test.py,
208_test_no_op_summary.txt,0.0466,208_test_no_op.py,
218_test_no_op_summary.txt,0.0455,218_test_no_op.py,
168_test_no_op_summary.txt,0.0358,168_test_no_op.py,
178_test_no_op_summary.txt,0.0353,178_test_no_op.py,
254_test_summary.txt,0.0352,254_test.py,
219_test_no_op_summary.txt,0.0189,219_test_no_op.py,
209_test_no_op_summary.txt,0.0185,209_test_no_op.py,
215_test_no_op_summary.txt,0.0163,215_test_no_op.py,
205_test_no_op_summary.txt,0.016,205_test_no_op.py,
154_test_summary.txt,0.0102,154_test.py,
143_test_summary.txt,0.0094,143_test.py,
333_test_summary.txt,-0.0002,333_test.py,
231_test_no_op_summary.txt,-0.0011,231_test_no_op.py,
241_test_no_op_summary.txt,-0.0013,241_test_no_op.py,
201_test_no_op_summary.txt,-0.0014,201_test_no_op.py,
237_test_no_op_summary.txt,-0.0016,237_test_no_op.py,
197_test_no_op_summary.txt,-0.0019,197_test_no_op.py,
191_test_no_op_summary.txt,-0.0022,191_test_no_op.py,
253_test_summary.txt,-0.0024,253_test.py,
187_test_no_op_summary.txt,-0.0027,187_test_no_op.py,
334_test_summary.txt,-0.0037,334_test.py,
171_test_no_op_summary.txt,-0.0058,171_test_no_op.py,
181_test_no_op_summary.txt,-0.0059,181_test_no_op.py,
167_test_no_op_summary.txt,-0.006,167_test_no_op.py,
177_test_no_op_summary.txt,-0.0061,177_test_no_op.py,
221_test_no_op_summary.txt,-0.0062,221_test_no_op.py,
217_test_no_op_summary.txt,-0.0065,217_test_no_op.py,
211_test_no_op_summary.txt,-0.0066,211_test_no_op.py,
207_test_no_op_summary.txt,-0.0069,207_test_no_op.py,
050_pass_t_plus_1_cross_summary.txt,-0.0083,050_experiment.py,
051_pass_t_plus_1_cross_summary.txt,-0.0136,051_experiment.py,
251_test_summary.txt,-0.0167,251_test.py,
054_pass_t_plus_1_cross_summary.txt,-0.0367,054_experiment.py,
252_test_summary.txt,-0.0485,252_test.py,
018_r2_uplift_final_v2_S0_summary.txt,-0.0765,018_test_no_op.py,
053_pass_t_plus_1_cross_summary.txt,-0.0866,053_experiment.py,
145_test_summary.txt,-0.1035,145_test.py,
148_test_summary.txt,-0.1036,148_test.py,
150_test_summary.txt,-0.1041,150_test.py,
151_test_summary.txt,-0.1042,151_test.py,
156_test_summary.txt,-0.1043,156_test.py,
159_test_summary.txt,-0.1044,159_test.py,
161_test_summary.txt,-0.1053,161_test.py,
162_test_summary.txt,-0.1055,162_test.py,
152_test_summary.txt,-0.2595,152_test.py,
163_test_summary.txt,-0.2597,163_test.py,
016_r2_uplift_alias_v3_S0_summary.txt,-0.3946,016_003_r2_uplift_suite.py,
203_test_no_op_summary.txt,-0.5024,203_test_no_op.py,
193_test_no_op_summary.txt,-0.5037,193_test_no_op.py,
040_r2_uplift_final_v4_HGB_perm_S0_summary.txt,-0.5058,040_test.py,
202_test_no_op_summary.txt,-0.5079,202_test_no_op.py,
192_test_no_op_summary.txt,-0.5091,192_test_no_op.py,
200_test_no_op_summary.txt,-0.5097,200_test_no_op.py,
190_test_no_op_summary.txt,-0.5107,190_test_no_op.py,
243_test_no_op_summary.txt,-0.5212,243_test_no_op.py,
233_test_no_op_summary.txt,-0.5213,233_test_no_op.py,
242_test_no_op_summary.txt,-0.5259,242_test_no_op.py,
232_test_no_op_summary.txt,-0.5261,232_test_no_op.py,
240_test_no_op_summary.txt,-0.527,240_test_no_op.py,
230_test_no_op_summary.txt,-0.5272,230_test_no_op.py,
183_test_no_op_summary.txt,-0.5273,183_test_no_op.py,
173_test_no_op_summary.txt,-0.5278,173_test_no_op.py,
182_test_no_op_summary.txt,-0.53,182_test_no_op.py,
172_test_no_op_summary.txt,-0.5306,172_test_no_op.py,
170_test_no_op_summary.txt,-0.5313,170_test_no_op.py,
180_test_no_op_summary.txt,-0.5315,180_test_no_op.py,
213_test_no_op_summary.txt,-0.5378,213_test_no_op.py,
223_test_no_op_summary.txt,-0.5386,223_test_no_op.py,
212_test_no_op_summary.txt,-0.54,212_test_no_op.py,
210_test_no_op_summary.txt,-0.5404,210_test_no_op.py,
222_test_no_op_summary.txt,-0.5409,222_test_no_op.py,
220_test_no_op_summary.txt,-0.5413,220_test_no_op.py,
005_pass_t_plus_1_cross_summary.txt,-0.8542,005_experiment.py,
