run_label,E2X_algo,X2E_algo,avg_test_r2,summary_path
algogrid_20251119_120449__Linear__Linear,Linear,Linear,0.05338114971052238,reports/summaries/119_test_summary.txt
algogrid_20251119_120449__Linear__Ridge,Linear,Ridge,0.06442412500144784,reports/summaries/120_test_summary.txt
algogrid_20251119_120449__Linear__Lasso,Linear,Lasso,0.050755230851594724,reports/summaries/121_test_summary.txt
algogrid_20251119_120449__Linear__SVR,Linear,SVR,0.10058207230379557,reports/summaries/122_test_summary.txt
algogrid_20251119_120449__Ridge__Linear,Ridge,Linear,0.0817910840660449,reports/summaries/123_test_summary.txt
algogrid_20251119_120449__Ridge__Ridge,Ridge,Ridge,0.09283405935697037,reports/summaries/124_test_summary.txt
algogrid_20251119_120449__Ridge__Lasso,Ridge,Lasso,0.07916516520711725,reports/summaries/125_test_summary.txt
algogrid_20251119_120449__Ridge__SVR,Ridge,SVR,0.1289920066593181,reports/summaries/126_test_summary.txt
algogrid_20251119_120449__Lasso__Linear,Lasso,Linear,0.056628980972828036,reports/summaries/127_test_summary.txt
algogrid_20251119_120449__Lasso__Ridge,Lasso,Ridge,0.0676719562637535,reports/summaries/128_test_summary.txt
algogrid_20251119_120449__Lasso__Lasso,Lasso,Lasso,0.05400306211390038,reports/summaries/129_test_summary.txt
algogrid_20251119_120449__Lasso__SVR,Lasso,SVR,0.10382990356610122,reports/summaries/130_test_summary.txt
algogrid_20251119_120449__SVR__Linear,SVR,Linear,0.1265726699951253,reports/summaries/131_test_summary.txt
algogrid_20251119_120449__SVR__Ridge,SVR,Ridge,0.13761564528605075,reports/summaries/132_test_summary.txt
algogrid_20251119_120449__SVR__Lasso,SVR,Lasso,0.12394675113619763,reports/summaries/133_test_summary.txt
algogrid_20251119_120449__SVR__SVR,SVR,SVR,0.17377359258839847,reports/summaries/134_test_summary.txt
