run_label,TE,SCALE,select_k,svr_C,svr_eps,svr_gamma,e2x_test_r2,x2e_test_r2,avg_test_r2,summary_path
svm_scale_te_20251119_152658__TE0_Srobust_K60_C5_E0.1,0,robust,60,5,0.1,scale,0.1519539691200873,0.18176388475590866,0.16685892693799798,reports/summaries/274_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K60_C5_E0.2,0,robust,60,5,0.2,scale,0.15274807868294515,0.18152497831442438,0.16713652849868477,reports/summaries/275_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K60_C10_E0.1,0,robust,60,10,0.1,scale,0.1825176408397049,0.18865593174975614,0.18558678629473052,reports/summaries/276_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K60_C10_E0.2,0,robust,60,10,0.2,scale,0.18183425814819465,0.18800091856913603,0.18491758835866534,reports/summaries/277_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K60_C15_E0.1,0,robust,60,15,0.1,scale,0.20163498267466506,0.1845126877912665,0.19307383523296578,reports/summaries/278_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K60_C15_E0.2,0,robust,60,15,0.2,scale,0.20087728420092288,0.18440953573396446,0.19264340996744367,reports/summaries/279_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C5_E0.1,0,robust,120,5,0.1,scale,0.17944123981402027,0.1696440348580761,0.1745426373360482,reports/summaries/280_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C5_E0.2,0,robust,120,5,0.2,scale,0.17873583659291892,0.17014527971904359,0.17444055815598125,reports/summaries/281_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C10_E0.1,0,robust,120,10,0.1,scale,0.20842319921937924,0.20256483845789208,0.20549401883863566,reports/summaries/282_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C10_E0.2,0,robust,120,10,0.2,scale,0.2086853923256935,0.2033552925778923,0.2060203424517929,reports/summaries/283_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C15_E0.1,0,robust,120,15,0.1,scale,0.23027351986172662,0.20817580456821627,0.21922466221497144,reports/summaries/284_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Srobust_K120_C15_E0.2,0,robust,120,15,0.2,scale,0.2302032961546514,0.20848972367733842,0.2193465099159949,reports/summaries/285_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C5_E0.1,1,robust,60,5,0.1,scale,0.1519539691200873,0.1793642226321236,0.16565909587610544,reports/summaries/286_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C5_E0.2,1,robust,60,5,0.2,scale,0.15274807868294515,0.17952710045437204,0.1661375895686586,reports/summaries/287_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C10_E0.1,1,robust,60,10,0.1,scale,0.1825176408397049,0.18826380078900917,0.18539072081435704,reports/summaries/288_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C10_E0.2,1,robust,60,10,0.2,scale,0.18183425814819465,0.1880799092160027,0.18495708368209868,reports/summaries/289_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C15_E0.1,1,robust,60,15,0.1,scale,0.20163498267466506,0.18629095631291903,0.19396296949379205,reports/summaries/290_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K60_C15_E0.2,1,robust,60,15,0.2,scale,0.20087728420092288,0.1869481764557115,0.19391273032831718,reports/summaries/291_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C5_E0.1,1,robust,120,5,0.1,scale,0.19122018937624652,0.18366415892988963,0.18744217415306808,reports/summaries/292_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C5_E0.2,1,robust,120,5,0.2,scale,0.19084562522351667,0.1833524867747658,0.18709905599914123,reports/summaries/293_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C10_E0.1,1,robust,120,10,0.1,scale,0.21500325538116327,0.20871458588874015,0.2118589206349517,reports/summaries/294_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C10_E0.2,1,robust,120,10,0.2,scale,0.21487114113593142,0.20944464225349335,0.21215789169471239,reports/summaries/295_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C15_E0.1,1,robust,120,15,0.1,scale,0.22620899726653254,0.21454504573690703,0.22037702150171978,reports/summaries/296_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Srobust_K120_C15_E0.2,1,robust,120,15,0.2,scale,0.22625412622018326,0.2146996244660827,0.22047687534313298,reports/summaries/297_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C5_E0.1,0,standard,60,5,0.1,scale,0.1519539691200873,0.18176388475590866,0.16685892693799798,reports/summaries/298_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C5_E0.2,0,standard,60,5,0.2,scale,0.15274807868294515,0.18152497831442438,0.16713652849868477,reports/summaries/299_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C10_E0.1,0,standard,60,10,0.1,scale,0.1825176408397049,0.18865593174975614,0.18558678629473052,reports/summaries/300_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C10_E0.2,0,standard,60,10,0.2,scale,0.18183425814819465,0.18800091856913603,0.18491758835866534,reports/summaries/301_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C15_E0.1,0,standard,60,15,0.1,scale,0.20163498267466506,0.1845126877912665,0.19307383523296578,reports/summaries/302_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K60_C15_E0.2,0,standard,60,15,0.2,scale,0.20087728420092288,0.18440953573396446,0.19264340996744367,reports/summaries/303_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C5_E0.1,0,standard,120,5,0.1,scale,0.17944123981402027,0.1696440348580761,0.1745426373360482,reports/summaries/304_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C5_E0.2,0,standard,120,5,0.2,scale,0.17873583659291892,0.17014527971904359,0.17444055815598125,reports/summaries/305_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C10_E0.1,0,standard,120,10,0.1,scale,0.20842319921937924,0.20256483845789208,0.20549401883863566,reports/summaries/306_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C10_E0.2,0,standard,120,10,0.2,scale,0.2086853923256935,0.2033552925778923,0.2060203424517929,reports/summaries/307_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C15_E0.1,0,standard,120,15,0.1,scale,0.23027351986172662,0.20817580456821627,0.21922466221497144,reports/summaries/308_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE0_Sstandard_K120_C15_E0.2,0,standard,120,15,0.2,scale,0.2302032961546514,0.20848972367733842,0.2193465099159949,reports/summaries/309_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C5_E0.1,1,standard,60,5,0.1,scale,0.1519539691200873,0.1793642226321236,0.16565909587610544,reports/summaries/310_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C5_E0.2,1,standard,60,5,0.2,scale,0.15274807868294515,0.17952710045437204,0.1661375895686586,reports/summaries/311_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C10_E0.1,1,standard,60,10,0.1,scale,0.1825176408397049,0.18826380078900917,0.18539072081435704,reports/summaries/312_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C10_E0.2,1,standard,60,10,0.2,scale,0.18183425814819465,0.1880799092160027,0.18495708368209868,reports/summaries/313_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C15_E0.1,1,standard,60,15,0.1,scale,0.20163498267466506,0.18629095631291903,0.19396296949379205,reports/summaries/314_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K60_C15_E0.2,1,standard,60,15,0.2,scale,0.20087728420092288,0.1869481764557115,0.19391273032831718,reports/summaries/315_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C5_E0.1,1,standard,120,5,0.1,scale,0.19122018937624652,0.18366415892988963,0.18744217415306808,reports/summaries/316_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C5_E0.2,1,standard,120,5,0.2,scale,0.19084562522351667,0.1833524867747658,0.18709905599914123,reports/summaries/317_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C10_E0.1,1,standard,120,10,0.1,scale,0.21500325538116327,0.20871458588874015,0.2118589206349517,reports/summaries/318_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C10_E0.2,1,standard,120,10,0.2,scale,0.21487114113593142,0.20944464225349335,0.21215789169471239,reports/summaries/319_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C15_E0.1,1,standard,120,15,0.1,scale,0.22620899726653254,0.21454504573690703,0.22037702150171978,reports/summaries/320_test_no_op_summary.txt
svm_scale_te_20251119_152658__TE1_Sstandard_K120_C15_E0.2,1,standard,120,15,0.2,scale,0.22625412622018326,0.2146996244660827,0.22047687534313298,reports/summaries/321_test_no_op_summary.txt
