run_label,DT,TE,W,RM,POLY,K,avg_test_r2,e2x_test_r2,x2e_test_r2,summary_path
svrgrid_20251119_141836__baseline__k30,0,0,0,0,0,30,0.1882168153401777,0.196278129388748,0.1801555012916074,reports/summaries/142_test_summary.txt
svrgrid_20251119_141836__dt__k30,1,0,0,0,0,30,0.00935711691844432,0.11202261614628872,-0.09330838230940008,reports/summaries/143_test_summary.txt
svrgrid_20251119_141836__te__k30,0,1,0,0,0,30,0.1878041224648272,0.195452743638047,0.1801555012916074,reports/summaries/144_test_summary.txt
svrgrid_20251119_141836__w__k30,0,0,1,0,0,30,-0.1035383951476283,-0.11488088234088645,-0.09219590795437016,reports/summaries/145_test_summary.txt
svrgrid_20251119_141836__rm__k30,0,0,0,1,0,30,0.1468619717356145,0.03379213287786853,0.25993181059336046,reports/summaries/146_test_summary.txt
svrgrid_20251119_141836__poly__k30,0,0,0,0,1,30,0.144171354589537,0.16517754401690077,0.12316516516217324,reports/summaries/147_test_summary.txt
svrgrid_20251119_141836__te_w__k30,0,1,1,0,0,30,-0.10359671049160946,-0.11499751302884875,-0.09219590795437016,reports/summaries/148_test_summary.txt
svrgrid_20251119_141836__te_rm__k30,0,1,0,1,0,30,0.14928534210556604,0.03863887361777163,0.25993181059336046,reports/summaries/149_test_summary.txt
svrgrid_20251119_141836__w_rm__k30,0,0,1,1,0,30,-0.10414552932906596,-0.11660633585917068,-0.09168472279896123,reports/summaries/150_test_summary.txt
svrgrid_20251119_141836__te_w_rm__k30,0,1,1,1,0,30,-0.10418218399915635,-0.11667964519935148,-0.09168472279896123,reports/summaries/151_test_summary.txt
svrgrid_20251119_141836__dt_te_w_rm_poly__k30,1,1,1,1,1,30,-0.2594581582878074,-0.36596044996960186,-0.1529558666060129,reports/summaries/152_test_summary.txt
svrgrid_20251119_141836__baseline__k60,0,0,0,0,0,60,0.18318269791702324,0.19730610083263123,0.16905929500141526,reports/summaries/153_test_summary.txt
svrgrid_20251119_141836__dt__k60,1,0,0,0,0,60,0.010243594806860934,0.09247302045613404,-0.07198583084241217,reports/summaries/154_test_summary.txt
svrgrid_20251119_141836__te__k60,0,1,0,0,0,60,0.18229159046819426,0.19552388593497327,0.16905929500141526,reports/summaries/155_test_summary.txt
svrgrid_20251119_141836__w__k60,0,0,1,0,0,60,-0.10429876327651544,-0.116619719430332,-0.09197780712269887,reports/summaries/156_test_summary.txt
svrgrid_20251119_141836__rm__k60,0,0,0,1,0,60,0.17452496262757594,0.11114614913728493,0.23790377611786695,reports/summaries/157_test_summary.txt
svrgrid_20251119_141836__poly__k60,0,0,0,0,1,60,0.08962614049970158,0.11488934211269586,0.0643629388867073,reports/summaries/158_test_summary.txt
svrgrid_20251119_141836__te_w__k60,0,1,1,0,0,60,-0.10444164512277254,-0.11690548312284621,-0.09197780712269887,reports/summaries/159_test_summary.txt
svrgrid_20251119_141836__te_rm__k60,0,1,0,1,0,60,0.1749867818290844,0.11206978754030184,0.23790377611786695,reports/summaries/160_test_summary.txt
svrgrid_20251119_141836__w_rm__k60,0,0,1,1,0,60,-0.10534847235192468,-0.11841525187904733,-0.09228169282480203,reports/summaries/161_test_summary.txt
svrgrid_20251119_141836__te_w_rm__k60,0,1,1,1,0,60,-0.10545635846078627,-0.11863102409677051,-0.09228169282480203,reports/summaries/162_test_summary.txt
svrgrid_20251119_141836__dt_te_w_rm_poly__k60,1,1,1,1,1,60,-0.2596682409083798,-0.36628752424157573,-0.15304895757518389,reports/summaries/163_test_summary.txt
