run_label,DT,TE,W,RM,POLY,OHE,YSC,ROBUST,QUANT,SEL_MODE,USE_CV_KSELECT,K_GRID,SELECT_K,avg_test_r2,e2x_test_r2,x2e_test_r2,summary_path
svrgrid_20251119_144821__baseline__k30,0,0,0,0,0,0,0,0,0,f,0,"15,30,45,60",30,0.18821681534017776,0.19627812938874822,0.1801555012916073,reports/summaries/244_test_summary.txt
svrgrid_20251119_144821__pair_ohe__k30,0,0,0,0,0,1,0,0,0,f,0,"15,30,45,60",30,0.18821681534017776,0.19627812938874822,0.1801555012916073,reports/summaries/245_test_summary.txt
svrgrid_20251119_144821__y_scale__k30,0,0,0,0,0,0,1,0,0,f,0,"15,30,45,60",30,-0.002414597488492154,0.08217738250417783,-0.08700657748116214,reports/summaries/246_test_summary.txt
svrgrid_20251119_144821__robust__k30,0,0,0,0,0,0,0,1,0,f,0,"15,30,45,60",30,0.18409879106791988,0.1998120035140719,0.16838557862176784,reports/summaries/247_test_summary.txt
svrgrid_20251119_144821__quantile__k30,0,0,0,0,0,0,0,0,1,f,0,"15,30,45,60",30,0.14090176623010103,0.13337915685956658,0.14842437560063548,reports/summaries/248_test_summary.txt
svrgrid_20251119_144821__select_mi__k30,0,0,0,0,0,0,0,0,0,mi,0,"15,30,45,60",30,0.1931070438699678,0.22824141551840516,0.15797267222153044,reports/summaries/249_test_summary.txt
svrgrid_20251119_144821__select_union__k30,0,0,0,0,0,0,0,0,0,union,0,"15,30,45,60",30,0.2512788473847569,0.2204080340641501,0.28214966070536374,reports/summaries/250_test_summary.txt
svrgrid_20251119_144821__y_scale__robust__k30,0,0,0,0,0,0,1,1,0,f,0,"15,30,45,60",30,-0.016677062749658467,0.09431908026836366,-0.1276732057676806,reports/summaries/251_test_summary.txt
svrgrid_20251119_144821__y_scale__quantile__k30,0,0,0,0,0,0,1,0,1,f,0,"15,30,45,60",30,-0.048533953306233,-0.04568131093431904,-0.05138659567814696,reports/summaries/252_test_summary.txt
svrgrid_20251119_144821__ohe__y_scale__k30,0,0,0,0,0,1,1,0,0,f,0,"15,30,45,60",30,-0.002414597488492154,0.08217738250417783,-0.08700657748116214,reports/summaries/253_test_summary.txt
svrgrid_20251119_144821__cv_kselect,0,0,0,0,0,0,1,0,0,f,1,"15,30,45,60",30,0.035247968772592675,0.17277799422006435,-0.102282056674879,reports/summaries/254_test_summary.txt
svrgrid_20251119_144821__y_scale__hpo__k30,0,0,0,0,0,0,1,0,0,f,0,"15,30,45,60",30,0.12395171571272695,0.22076513080101823,0.027138300624435674,reports/summaries/255_test_summary.txt
